score,startHere,date,versionOrder,versionPages,pageCount,lane,tags,question,bernsteinNote,title,documentType,sourceClass,sourceUrl,pdfUrl,sourceNote
103,no,1993-04-14,1,1-4,4,candidate-state cases,Presidential Choice; Bureaucratic Process; Russia Constraint; Allied Politics; Candidate Selection,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,Havel's Upcoming Meeting with the President: Security Issues on the Agenda,Cable,clinton-library-mdr,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,"Source: Clinton Presidential Records, Mandatory Declassification Review 2024-0540-M, Clinton Library PDF pages 38-41. Confidential."
73,no,1993-04-19,2,5-11,7,candidate-state cases,Bureaucratic Process; Russia Constraint; Candidate Selection,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.","Your Meeting with Vaclav Havel, 5:00 pm to 6:00 pm, April 20, 1993",Presidential briefing memorandum,clinton-library-mdr,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2015-0773-M.pdf,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2015-0773-M.pdf,"Source: Clinton Presidential Records, NSC Records Management, [Havel and Telcons], Mandatory Declassification Review 2015-0773-M, Clinton Library PDF pages 33-39. Confidential with Secret attachment."
107,no,1993-09-03,3,12-14,3,constraints/diplomacy,Presidential Choice; Russia Constraint; Candidate Selection; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,Possible Yeltsin Letter on NATO,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Jan. 1993-Dec. 1994, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 2-4. Confidential; Nodis."
97,no,1993-09-17,4,15-20,6,constraints/diplomacy,Russia Constraint; Allied Politics; Candidate Selection; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Luncheon with Prime Minister Carlo Ciampi of Italy,Memorandum of conversation,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 17-22. Confidential."
83,no,1993-09-17,5,21-25,5,constraints/diplomacy,Bureaucratic Process; Russia Constraint; Allied Politics,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Meeting with Prime Minister Carlo Ciampi of Italy,Memorandum of conversation,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 31-35. Confidential."
107,no,1993-09-20,6,26-28,3,constraints/diplomacy,Presidential Choice; Russia Constraint; Candidate Selection; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,Yeltsin: NATO Expansion,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, PC0037 PC Meeting on NATO Summit, October 18, 1993, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 16-18. Secret."
73,no,1993-09-23,7,29-30,2,candidate-state cases,Russia Constraint; Candidate Selection; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",The Visegrad Four and NATO Expansion,NSC information memorandum,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 17-18. Confidential."
57,no,1993-10,8,31-32,2,core expansion policy,Candidate Selection; Bureaucratic Process,Which records expose bureaucratic process rather than retrospective public rationale?,"Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Phased NATO Expansion: Draft Declaration Language,Draft declaration language,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, PC0037 PC Meeting on NATO Summit, October 18, 1993, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 19-20. Confidential."
129,no,1993-10-08,9,33-38,6,whether/whom/when,Alternatives; Bureaucratic Process; Russia Constraint; Allied Politics; Candidate Selection,What alternatives were on the table before NATO expansion hardened into policy?,"Best read for choice architecture: whether to expand, whom to invite, or when to name names.",NATO Expansion: Now Is Not the Time,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, PC0037 PC Meeting on NATO Summit, October 18, 1993, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 3-8. Secret."
83,no,1993-10-19,10,39-40,2,core expansion policy,Bureaucratic Process; Russia Constraint; Allied Politics; Candidate Selection,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",The NATO Summit and Europe's East,Presidential decision memorandum,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 26-27. Confidential."
